"predecessor_path","target_path","category","predecessor_sha256","target_sha256","disposition","evidence_rationale"
"C:\Projekti\OPC\OPC v.1\SOURCE\.agents\skills\opc-review-handoff\SKILL.md","C:\Projekti\OPC_v1.5\source\.agents\skills\opc-review-handoff\SKILL.md","C","66B22286481E0F3F4B6AF5B8F8EE3CE5668F5704F60A73C6B19C816B58BEF4C5","66B22286481E0F3F4B6AF5B8F8EE3CE5668F5704F60A73C6B19C816B58BEF4C5","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\android\app\build.gradle.kts","C:\Projekti\OPC_v1.5\source\android\app\build.gradle.kts","D","70E843F6A36D35B456F171008872EE18A7123073727C0A247B09F625B2D47C93","70E843F6A36D35B456F171008872EE18A7123073727C0A247B09F625B2D47C93","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; D path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\docs\OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","C:\Projekti\OPC_v1.5\source\docs\OPC_AUTHORITATIVE_DEPENDENCY_BASED_DEVELOPMENT_PLAN.md","C","75E0A24DD980C9F5A0EA59DEFE356384F387813C7C9A473C5EAA97EA299995C7","75E0A24DD980C9F5A0EA59DEFE356384F387813C7C9A473C5EAA97EA299995C7","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\docs\OPC_BUSINESS_DOMAIN_AND_FLOW_MAP.md","C:\Projekti\OPC_v1.5\source\docs\OPC_BUSINESS_DOMAIN_AND_FLOW_MAP.md","C","941CED7F5311F7188AD5301809A3419B0C49B6E7CB53BB5E1596EDC0DC8754C2","941CED7F5311F7188AD5301809A3419B0C49B6E7CB53BB5E1596EDC0DC8754C2","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\docs\OPC_FULL_BUSINESS_POLICY_AND_LOGIC_SNAPSHOT.md","C:\Projekti\OPC_v1.5\source\docs\OPC_FULL_BUSINESS_POLICY_AND_LOGIC_SNAPSHOT.md","C","070B176F5A413AFE2E2DB3B98CBF57B59DE3E90EBF5B01825BB5E3C959C53B78","070B176F5A413AFE2E2DB3B98CBF57B59DE3E90EBF5B01825BB5E3C959C53B78","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\docs\OPC_LOCAL_USER_IDENTITY_AND_PREDMET_TRANSFER_REBIND_AUDIT.md","C:\Projekti\OPC_v1.5\source\docs\OPC_LOCAL_USER_IDENTITY_AND_PREDMET_TRANSFER_REBIND_AUDIT.md","C","D4D189D7561B6DC49DE6B5E769C5D3EA5CF367308A9030E8E5369B11B5961401","D4D189D7561B6DC49DE6B5E769C5D3EA5CF367308A9030E8E5369B11B5961401","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\docs\OPC_OWNER_DECISION_GUIDE.md","C:\Projekti\OPC_v1.5\source\docs\OPC_OWNER_DECISION_GUIDE.md","C","9A772745A00A95834EF1A682AF31AEB0D56F21A23C1ECEEA3FCA984A9D51AB67","9A772745A00A95834EF1A682AF31AEB0D56F21A23C1ECEEA3FCA984A9D51AB67","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\docs\OPC_OWNER_DECISION_INDEX.md","C:\Projekti\OPC_v1.5\source\docs\OPC_OWNER_DECISION_INDEX.md","C","CD37517438837D4D1D19EF2225DE26CEED4EC60515BB992F45B9619865AF0E47","CD37517438837D4D1D19EF2225DE26CEED4EC60515BB992F45B9619865AF0E47","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\docs\OPC_PHASE2_ROADMAP_CURRENT_REALITY_RECONCILIATION.md","C:\Projekti\OPC_v1.5\source\docs\OPC_PHASE2_ROADMAP_CURRENT_REALITY_RECONCILIATION.md","C","ABBC5EBD08E09335ECB2CD595460214551C129D803D2CFB77ED84418DB5BC78C","ABBC5EBD08E09335ECB2CD595460214551C129D803D2CFB77ED84418DB5BC78C","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; C path; byte/hash equality verified before QA."
"C:\Projekti\OPC\OPC v.1\SOURCE\lib\core\database\database.dart","C:\Projekti\OPC_v1.5\source\lib\core\database\database.dart","A","65679DB6385711E6D203344923256D63407EFE18DCAD9335B771AF00FBA2FAD4","65679DB6385711E6D203344923256D63407EFE18DCAD9335B771AF00FBA2FAD4","INCLUDED — ACCEPTED CURRENT BASELINE","Current accepted predecessor delta; A path; byte/hash equality verified before QA."
