"exact_path","source_location","current_status","primary_information_purpose","ownership","unique_current_knowledge","conflicting_knowledge","newer_authority_or_superseding_home","target_information_home","proposed_disposition","owner_decision_required","migration_verification_status","classification_basis","authority_class","current_authority_home","target_section_topic","migration_evidence","review_required_reason"
"docs/OPC_PHASE1_DOCUMENTATION_MIGRATION_AUTHORITY_MANIFEST.csv","GIT","CURRENT SUPPORTING EVIDENCE","Machine-checkable Phase 1 per-file authority and migration evidence","Product/engineering documentation","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
".github/workflows/opc-manifest-gate.yml","GIT","CURRENT SUPPORTING EVIDENCE","Repository manifest-gate automation","Repository governance","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"analysis_options.yaml","GIT","CURRENT SUPPORTING EVIDENCE","Dart analyzer configuration","Build/quality infrastructure","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"assets/fonts/NotoSerif-OFL.txt","GIT","CURRENT SUPPORTING EVIDENCE","Font rights/provenance notice","Asset/release provenance","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"assets/scenario_defaults.json","GIT","CURRENT SUPPORTING EVIDENCE","SCENARIO default data fixture","Product/domain/SCENARIO","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"pubspec.full_catalog_test.yaml","GIT","CURRENT SUPPORTING EVIDENCE","Dependency/test configuration variant","Build/test infrastructure","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"pubspec.yaml","GIT","CURRENT SUPPORTING EVIDENCE","Application dependency and SDK manifest","Build/dependency infrastructure","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"test/fixtures/scenario/scenario_map_owner_golden.json","GIT","CURRENT SUPPORTING EVIDENCE","SCENARIO owner-map golden fixture","Domain/quality evidence","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"tools/variant_packaging/README.md","GIT","CURRENT SUPPORTING EVIDENCE","Variant packaging tool guidance","Engineering tooling","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
"tools/windows_installer/README.md","GIT","CURRENT SUPPORTING EVIDENCE","Windows installer tooling guidance","Engineering tooling/release","YES","NO","Compact current-state homes interpret this artifact; source/config/runtime remains the evidence","Retain at source/local path; interpret through the compact current-state homes","RETAIN","NO","VERIFIED â€” CURRENT SUPPORTING EVIDENCE","Current source/configuration/runtime or detailed evidence that remains useful but subordinate","CURRENT SUPPORTING EVIDENCE","README.md / compact current-state homes","Supporting evidence for the relevant product, architecture, development or quality topic","Exact path retained; target topic and subordinate role are recorded for later migration decisions","NONE â€” technical/supporting classification is evidence-based"
