"control_id","subject","type","source_or_path","authority_source","originating_state","first_phase","phase1_status","phase1_evidence","phase2_status","phase2_evidence","phase3_status","phase3_evidence","phase4_status","phase4_evidence","current_status","classification","closure_state","unresolved_dependency","owner_gate","next_action","expected_future_phase_task","closure_proof","superseded_by","notes"
"PSC-001","Persistent completeness control","governance","docs/OPC_DEVELOPMENT.md; docs/OPC_POST_SCENARIO_REVIEW_COMPLETENESS_LEDGER.csv","Current control document; owner-approved task","No persistent cross-phase completeness gate","Phase 1","DOCUMENTATION STANDARDIZATION","Phase 1 authority homes and manifest","CURRENT-STATE RECONCILED","Phase 2 roadmap/current-reality reconciliation","TARGET CONTROL CANDIDATE","Phase 3 ADR/target mapping","CONTROLLED GAP","Phase 4 prerequisite sequence","ACTIVE — CONTROL INSTALLED","GOVERNANCE CONTROL","CLOSED — EVIDENCE VERIFIED","None","None","Apply this intake/closure gate to every subsequent phase","All future phases","Control rule present in OPC_DEVELOPMENT.md and this ledger","None","Stable rule; not task boilerplate"
"PSC-002","Handwritten production Dart coverage","coverage","lib/**/*.dart except database.g.dart","SOURCE files plus Phase 4 forensic inventory","Granularity previously summarized by module","Phase 1","DOCUMENTED AUTHORITY","Phase 1 current homes","COVERAGE BASELINE","Phase 2 source coverage","MAPPED TO TARGET","Phase 3 current→target matrix","INDIVIDUALLY INVENTORIED","152 directly analyzed handwritten rows; 38-column decision-grade inventory; zero handwritten invariant-only rows","CLOSED — EVIDENCE VERIFIED","SOURCE COVERAGE","CLOSED — EVIDENCE VERIFIED","None","None","Re-run inventory at each phase boundary","Next phase intake","152 individual rows with byte counts and boundaries","None","Each file has responsibility, owner, target, Phase 4 disposition, compatibility, characterization, action, successor and evidence."
"PSC-003","Generated database source","coverage","lib/core/database/database.g.dart","database.dart generation boundary; build tooling","Generated file not separately classified","Phase 1","SUPPORTING EVIDENCE","Database docs","GENERATED BOUNDARY","Phase 2 generated-source rule","TARGET INFRASTRUCTURE","Phase 3 target tree","SEPARATE GENERATED ROW","database.g.dart identified separately","CLOSED — EVIDENCE VERIFIED","GENERATED SOURCE","CLOSED — EVIDENCE VERIFIED","Regeneration reproducibility","None","Verify generated output after schema changes","Future DB migration wave","Dedicated generated row and hash evidence","None","No hand-edit authorization"
"PSC-004","Test coverage","coverage","test/**/*.dart","Test files and characterization reports","Tests were counted but not individually controlled","Phase 1","TEST AUTHORITY","Phase 1 test references","BASELINE","Phase 2 test evidence","MAPPED","Phase 3 test architecture","INDIVIDUALLY INVENTORIED","71 individually traced tests with behavior, taxonomy, characterization role, production block, migration relevance and protection flag","CLOSED — EVIDENCE VERIFIED","TEST COVERAGE","CLOSED — EVIDENCE VERIFIED","Characterization depth","None","Map every intervention to a test/characterization successor","Seam-specific characterization and acceptance wave","71 individual test rows","None","Inventory includes scenario and support tests"
"PSC-005","Platform/configuration/build/script/tool coverage","coverage","android/**; windows/**; scripts/**; tool/**","Platform/build artifacts and scripts","Platform surfaces were not in Phase 4 matrix initially","Phase 1","SUPPORTING","Platform reports","RECONCILED","Phase 2 Windows closure","MAPPED","Phase 3 physical target boundary","INDIVIDUALLY INVENTORIED","113 platform/build/script/tool rows with support class, responsibility, compatibility obligation, action and successor; generated groups use explicit invariants","CLOSED — EVIDENCE VERIFIED","PLATFORM/BUILD COVERAGE","CLOSED — EVIDENCE VERIFIED","Toolchain reproducibility","None","Re-run protected-surface scan before release","Release acceptance","113 inventory rows","None","Build artifacts are evidence only"
"PSC-006","Transfer/full-backup/restore coordination","compatibility","full_backup_restore_coordinator.dart; json_export_import.dart; scenario_transfer_envelope.dart; recovery docs","Phase 3 contracts; Phase 4 compatibility register","Orchestration and infrastructure boundaries required reconciliation","Phase 1","DOCUMENTED","Backup/restore policy","RECONCILED","Roadmap current reality","BOUNDARY DEFINED","Inter-module contracts","PARTIAL CHARACTERIZATION","Round-trip and release rehearsal remain","OPEN — SUCCESSOR ASSIGNED","CONTROLLED GAP","OPEN — FORWARD ACTION","Round-trip rehearsal and compatibility fixture","Owner/product acceptance for release semantics","Execute compatibility characterization and restore rehearsal","Pre-implementation compatibility and restore rehearsal","Phase 4 compatibility/migration register plus source rows","None","Infrastructure serializers/adapters do not own workflow policy"
"PSC-007","Application shell and navigation","functional","lib/app.dart; lib/main.dart","Current SOURCE plus Phase 3 target architecture","Shell responsibilities dispersed","Phase 1","CURRENT HOME","README/current state","RECONCILED","Phase 2 current reality","TARGET HOME","Phase 3 building blocks","COVERED","Direct source rows","CLOSED — EVIDENCE VERIFIED","FUNCTIONAL COVERAGE","CLOSED — EVIDENCE VERIFIED","None","None","Keep shell-to-feature dependency direction","Future architecture implementation","Source inventory + target tree proposal","None","No physical restructure authorized"
"PSC-008","PREDMET lifecycle and business-source facts","functional/data","lib/features/predmeti/**; database predmeti tables","PREDMET authority; Phase 3 data ownership matrix","Lifecycle and identity facts spread across services/UI","Phase 1","AUTHORITY HOME","Phase 1 authority docs","RECONCILED","Phase 2 roadmap","TARGET OWNER","Phase 3 ownership/contracts","CHARACTERIZED TESTED FLOWS — BROADER ACCEPTANCE OPEN","Phase 4 reports; 31 focused characterization tests; lifecycle/referential/hard-delete/restore flows passed","OPEN — SUCCESSOR ASSIGNED","CONTROLLED GAP","OPEN — FORWARD ACTION","Representative Windows runtime lifecycle acceptance; Android parity; replacement audit-history preservation; broader migration proof","Owner-gated business semantics only if new meaning proposed","Run Windows/Android lifecycle acceptance, replacement audit-history preservation and broader migration successors before closure","Cross-platform PREDMET lifecycle and referential acceptance wave + replacement audit-history preservation","PREDMET rows, contracts, DB tables, focused tests (5 lifecycle + 5 referential + 4 hard-delete + 8 restore)","None","PREDMET remains owner of authoritative lifecycle facts"
"PSC-009","SCENARIO implementation lock and contracts","protected","lib/features/predmeti/core_v2/scenario/**; SCENARIO lock docs","SCENARIO module lock and protected SHA a8218537c1aa85b61fe5c85c21dbd03672f6e77c","SCENARIO changes require explicit unlock","Phase 1","LOCKED","Phase 1 lock","LOCKED","Phase 2 synchronization","LOCKED","Phase 3 target boundary","LOCKED","Phase 4 no modification","CURRENT — PROTECTED","PROTECTED CONTRACT","CLOSED — CONTROL PRESERVED","Explicit unlock task","Owner/business authority only for unlock","Verify SHA and diff exclusion at each phase","Any future SCENARIO unlock task","SHA and git protected-surface checks","None","No completeness task changes implementation"
"PSC-010","IRiU truth, ordering and lifecycle","functional","lib/features/predmeti/core_v2/services/*iriu*; data/iriu_repository.dart; tests","IRiU reports and Phase 3 contracts","Ordering and truth services have mixed seams","Phase 1","DOCUMENTED","IRiU authority docs","RECONCILED","Phase 2 pseudocode","TARGET MAPPED","Phase 3 target blocks","BOUNDED CHARACTERIZATION","Two contracts sufficient; mixed overall","OPEN — SUCCESSOR ASSIGNED","CHARACTERIZATION GAP","OPEN — FORWARD ACTION","Add focused characterization for remaining mixed paths","None","Complete IRiU characterization before refactor","IRiU seam characterization","Phase 4 characterization register","None","Ordering/auth lanes are bounded, not all IRiU"
