"row_type","path","bytes","sha256","functional_block","current_responsibility","authority_or_owner","phase3_target_destination","phase4_classification","phase4_evidence","characterization_state","compatibility_obligation","current_or_future_action","expected_successor","coverage_mode","block_level_invariant_reference","notes","protected_contract_behavior","target_test_taxonomy","characterization_role","associated_production_block","migration_relevance","future_action","compatibility_migration_protection","support_class","sub_responsibility","reads_or_depends_on","writes_or_controls","runtime_or_regression_protection","migration_prerequisite","protected_contract_or_behavior","test_taxonomy","compatibility_or_migration_role","phase4_relevance","future_migration_relevance","active_or_support_status","phase_coverage","unique_surface_analysis"
"HANDWRITTEN_PRODUCTION_DART","lib/app.dart","10032","1089E0511CBB2B90D90F0A9D59931E05A4F22D51BB0447049511FE3AF98CEF9A","app shell / composition","Composes the Flutter application shell, routes, theme and top-level feature wiring.","Engineering Profile and owning module contract","app/composition","TARGET FIT / RETAIN","Phase 4 evidence for app shell / composition; direct declaration/import scan of lib/app.dart (10032 bytes; SHA-256 1089E0511CBB2B90D90F0A9D59931E05A4F22D51BB0447049511FE3AF98CEF9A).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Application shell/runtime acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/app.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/main.dart","737","CB63B123970AA8BDB5D4E96D35ED73D5941A79E56DAFF034E7ADD33B7B7C17F3","app shell / composition","Bootstraps the Flutter process and launches the application shell.","Engineering Profile and owning module contract","app/composition","TARGET FIT / RETAIN","Phase 4 evidence for app shell / composition; direct declaration/import scan of lib/main.dart (737 bytes; SHA-256 CB63B123970AA8BDB5D4E96D35ED73D5941A79E56DAFF034E7ADD33B7B7C17F3).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Application shell/runtime acceptance","DIRECTLY ANALYZED","","File-specific reconciliation: lib/main.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific main implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/catalog/stock_catalog_identity.dart","3848","16845025BAB82360745CCD1A661A958F3D9A70906130CF65045D5B13A2696C50","KATALOG / catalog identity","Implements the stock catalog identity responsibility in its owning block.","Engineering Profile and owning module contract","features/katalog","TARGET FIT / RETAIN","Phase 4 evidence for KATALOG / catalog identity; direct declaration/import scan of lib/core/catalog/stock_catalog_identity.dart (3848 bytes; SHA-256 16845025BAB82360745CCD1A661A958F3D9A70906130CF65045D5B13A2696C50).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","KATALOG acceptance matrix","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/catalog/stock_catalog_identity.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific stock catalog identity implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/config/app_config.dart","3526","95786D90F5A006F0B7B2771709D18BB7D79A0C23EEF5217328D1A4A6769F6B28","core/platform support","Implements the app config responsibility in its owning block.","Engineering Profile and owning module contract","core/platform support behind ports","TARGET FIT / RETAIN","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/config/app_config.dart (3526 bytes; SHA-256 95786D90F5A006F0B7B2771709D18BB7D79A0C23EEF5217328D1A4A6769F6B28).","SUFFICIENT FOR CLASSIFICATION — implementation remains phase-gated","Owning module API and regression behavior","Retain under mapped target block; include in seam characterization","Core/platform compatibility characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/config/app_config.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific app config implementation","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","target-block contract and regression evidence","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/constants/iriu_constants.dart","3957","88570BC9DD1897CB1F378F03806ED88000ED62C3FB58EA04A2D14EAD4549598D","core/platform support","Implements the iriu constants responsibility in its owning block.","Engineering Profile and owning module contract","core/platform support behind ports","SPLIT / MERGE — IRiU CONTRACT BOUNDARY","Phase 4 evidence for core/platform support; direct declaration/import scan of lib/core/constants/iriu_constants.dart (3957 bytes; SHA-256 88570BC9DD1897CB1F378F03806ED88000ED62C3FB58EA04A2D14EAD4549598D).","PARTIAL — seam characterization required before migration","IRiU ordering/provenance/price and PREDMET truth contracts","Complete IRiU seam characterization before refactor","IRiU seam characterization","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/constants/iriu_constants.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","IRiU truth/selection/lifecycle","no local project import; framework/primitive boundary","controls its named sub-responsibility without changing PREDMET authority","owning-block tests plus Phase 4 characterization register","IRiU ordering/provenance characterization","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/database.dart","86416","CB6408CA7A5FD1C5EDC6ADBC4BBA65AC3C2F2374E94901B25A5C30F7347D0A2A","infrastructure persistence / database","Owns Drift schema versioning, migrations, seed/repair hooks and database lifecycle.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","PARTIAL REWRITE CANDIDATE / SPLIT","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/database.dart (86416 bytes; SHA-256 CB6408CA7A5FD1C5EDC6ADBC4BBA65AC3C2F2374E94901B25A5C30F7347D0A2A).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/database.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","schema versioning, migrations, seed and recovery coordination","relative imports: ../catalog/stock_catalog_identity.dart; ../config/app_config.dart; ../constants/iriu_constants.dart; ../utils/stable_id_generator.dart","controls schema/migration/recovery lane","migration, restore, round-trip and compatibility evidence required","characterization fixtures plus parity and rollback rehearsal","","","","","","","",""
"GENERATED_PRODUCTION_DART","lib/core/database/database.g.dart","984255","DE6F0AB03EBB6CB359E2EEDF9B52E448B6E0A37D866686B05E1F53099F434703","infrastructure persistence / generated Drift","Generated Drift implementation for database.dart schema and table accessors.","database.dart schema and generator/toolchain","infrastructure/generated","COMPATIBILITY INFRASTRUCTURE / RETAIN GENERATED","Generated-source boundary in Phase 4 DB report; lib/core/database/database.g.dart (984255 bytes; SHA-256 DE6F0AB03EBB6CB359E2EEDF9B52E448B6E0A37D866686B05E1F53099F434703).","GENERATED — validate by regeneration","Generated output must match schema v27 and generator version","Regenerate and compare after schema changes","Database generation/regeneration comparison","BLOCK-LEVEL INVARIANT","GEN-DB-001: database.g.dart is generated from database.dart and never hand-edited","Checked-in generated artifact; never hand-edited; regeneration must match database.dart schema and generator version.","","","","","","","","","","generated from lib/core/database/database.dart by Drift/build_runner; checked in for runtime compatibility","","","","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/database_lane_diagnostics.dart","2573","F70313D8C6E9BE71F318B82269A95A5321F98FA44CF6C803815607E548A8644D","infrastructure persistence / database","Reports database lane diagnostics for runtime and migration paths.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/database_lane_diagnostics.dart (2573 bytes; SHA-256 F70313D8C6E9BE71F318B82269A95A5321F98FA44CF6C803815607E548A8644D).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/database_lane_diagnostics.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific database lane diagnostics implementation","relative imports: ../config/app_config.dart","controls schema/migration/recovery lane","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/migration_test_database_selector.dart","4282","0E248851F98A5DD8F684BDAC51FCB9879C43F314A677F269AB3DC6293D53E3FE","infrastructure persistence / database","Selects isolated migration-test database lanes.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/migration_test_database_selector.dart (4282 bytes; SHA-256 0E248851F98A5DD8F684BDAC51FCB9879C43F314A677F269AB3DC6293D53E3FE).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/migration_test_database_selector.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","file-specific migration test database selector implementation","relative imports: ../config/app_config.dart","controls schema/migration/recovery lane","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
"HANDWRITTEN_PRODUCTION_DART","lib/core/database/schema_recovery.dart","12829","C91ADAF3D17542CAD3E1702B7CCF2495F3830CAA8DFED5415992F2EEE9DB3B34","infrastructure persistence / database","Validates schema/recovery conditions and fails closed on incompatible state.","Persistence/interoperability contracts; owner policy for external semantics","infrastructure/persistence","COMPATIBILITY INFRASTRUCTURE / RETAIN-REFACTOR","Phase 4 evidence for infrastructure persistence / database; direct declaration/import scan of lib/core/database/schema_recovery.dart (12829 bytes; SHA-256 C91ADAF3D17542CAD3E1702B7CCF2495F3830CAA8DFED5415992F2EEE9DB3B34).","PARTIAL — seam characterization required before migration","Schema v27, migration chain, generated Drift and recovery invariants","Characterize schema/migration/recovery before rewrite","Current-tip migration/recovery relational-integrity closure rehearsal","DIRECTLY ANALYZED","","File-specific reconciliation: lib/core/database/schema_recovery.dart responsibility, target and disposition checked against declarations/imports and the owning contract.","","","","","","","","","schema validation and recovery gate","no local project import; framework/primitive boundary","controls schema/migration/recovery lane","migration, restore, round-trip and compatibility evidence required","schema migration/recovery fixture and restore rehearsal","","","","","","","",""
